,agents_choice,result
0,Rock,L
1,Paper,L
2,Scissors,D
3,Scissors,W
4,Paper,D
5,Scissors,L
6,Scissors,D
7,Paper,W
8,Scissors,D
9,Paper,L
10,Scissors,D
11,Rock,L
12,Rock,L
13,Rock,W
14,Paper,W
15,Scissors,D
16,Rock,W
17,Paper,D
18,Scissors,L
19,Rock,L
20,Rock,L
21,Rock,D
22,Paper,D
23,Rock,W
24,Paper,D
25,Rock,L
26,Rock,W
27,Rock,D
28,Rock,L
29,Paper,W
30,Scissors,D
31,Scissors,D
32,Paper,D
33,Scissors,L
34,Scissors,L
35,Paper,W
36,Rock,L
37,Paper,L
38,Paper,L
39,Scissors,W
40,Rock,W
41,Paper,D
42,Scissors,W
43,Scissors,W
44,Paper,W
45,Scissors,L
46,Scissors,W
47,Paper,W
48,Scissors,L
49,Paper,L
50,Scissors,D
51,Rock,W
52,Rock,W
53,Rock,D
54,Paper,D
55,Scissors,D
56,Rock,L
57,Paper,D
58,Scissors,D
59,Rock,W
60,Rock,W
61,Rock,D
62,Paper,W
63,Rock,D
64,Paper,L
65,Rock,W
66,Rock,L
67,Rock,L
68,Rock,L
69,Paper,W
70,Scissors,W
71,Scissors,W
72,Paper,L
73,Scissors,W
74,Scissors,W
75,Paper,D
76,Rock,D
77,Paper,L
78,Paper,D
79,Scissors,L
80,Rock,W
81,Paper,L
82,Scissors,W
83,Scissors,D
84,Paper,W
85,Scissors,L
86,Scissors,L
87,Paper,W
88,Scissors,L
89,Paper,D
90,Scissors,D
91,Rock,L
92,Rock,W
93,Rock,W
94,Paper,D
95,Scissors,W
96,Rock,D
97,Paper,D
98,Scissors,L
99,Rock,W
100,Rock,W
101,Rock,D
102,Paper,W
103,Rock,D
104,Paper,L
105,Rock,L
106,Rock,L
107,Rock,W
108,Rock,L
109,Paper,D
110,Scissors,D
111,Scissors,W
112,Paper,D
113,Scissors,D
114,Scissors,D
115,Paper,D
116,Rock,D
117,Paper,W
118,Paper,L
119,Scissors,D
120,Rock,L
121,Paper,D
122,Scissors,L
123,Scissors,L
124,Paper,D
125,Scissors,D
126,Scissors,L
127,Paper,D
128,Scissors,L
129,Paper,W
130,Scissors,L
131,Rock,W
132,Rock,D
133,Rock,W
134,Paper,D
135,Scissors,L
136,Rock,D
137,Paper,L
138,Scissors,W
139,Rock,L
140,Rock,W
141,Rock,L
142,Paper,D
143,Rock,L
144,Paper,L
145,Rock,L
146,Rock,W
147,Rock,W
148,Rock,W
149,Paper,D
150,Scissors,D
151,Scissors,L
152,Paper,W
153,Scissors,D
154,Scissors,D
155,Paper,L
156,Rock,L
157,Paper,W
158,Paper,W
159,Scissors,W
160,Rock,D
161,Paper,D
162,Scissors,W
163,Scissors,L
164,Paper,W
165,Scissors,W
166,Scissors,D
167,Paper,L
168,Scissors,W
169,Paper,L
170,Scissors,W
171,Rock,L
172,Rock,D
173,Rock,D
174,Paper,W
175,Scissors,W
176,Rock,L
177,Paper,D
178,Scissors,D
179,Rock,L
180,Rock,W
181,Rock,D
182,Paper,L
183,Rock,W
184,Paper,L
185,Rock,D
186,Rock,D
187,Rock,W
188,Rock,D
189,Paper,L
190,Scissors,D
191,Scissors,W
192,Paper,W
193,Scissors,W
194,Scissors,D
195,Paper,L
196,Rock,W
197,Paper,D
198,Paper,L
199,Scissors,D
200,Rock,W
201,Paper,D
202,Scissors,W
203,Scissors,D
204,Paper,L
205,Scissors,W
206,Scissors,L
207,Paper,D
208,Scissors,D
209,Paper,D
210,Scissors,L
211,Rock,L
212,Rock,D
213,Rock,L
214,Paper,D
215,Scissors,W
216,Rock,W
217,Paper,D
218,Scissors,L
219,Rock,W
220,Rock,W
221,Rock,D
222,Paper,L
223,Rock,L
224,Paper,L
225,Rock,D
226,Rock,W
227,Rock,D
228,Rock,D
229,Paper,D
230,Scissors,D
231,Scissors,W
232,Paper,L
233,Scissors,L
234,Scissors,D
235,Paper,D
236,Rock,W
237,Paper,D
238,Paper,W
239,Scissors,D
240,Rock,D
241,Paper,L
242,Scissors,W
243,Scissors,W
244,Paper,L
245,Scissors,W
246,Scissors,L
247,Paper,L
248,Scissors,L
249,Paper,W
250,Scissors,L
251,Rock,D
252,Rock,W
253,Rock,L
254,Paper,L
255,Scissors,L
256,Rock,W
257,Paper,W
258,Scissors,L
259,Rock,L
260,Rock,W
261,Rock,L
262,Paper,D
263,Rock,D
264,Paper,L
265,Rock,W
266,Rock,D
267,Rock,W
268,Rock,D
269,Paper,D
270,Scissors,W
271,Scissors,W
272,Paper,L
273,Scissors,D
274,Scissors,L
275,Paper,D
276,Rock,D
277,Paper,D
278,Paper,L
