,agents_choice,result
0,Paper,D
1,Rock,L
2,Rock,L
3,Paper,D
4,Scissors,W
5,Paper,D
6,Rock,L
7,Paper,D
8,Rock,L
9,Paper,D
10,Scissors,W
11,Paper,D
12,Rock,L
13,Scissors,W
14,Rock,L
15,Scissors,W
16,Scissors,W
17,Scissors,W
18,Rock,L
19,Scissors,W
20,Scissors,W
21,Paper,D
22,Rock,L
23,Scissors,W
24,Paper,D
25,Scissors,W
26,Paper,D
27,Scissors,W
28,Rock,L
29,Scissors,W
30,Scissors,W
31,Rock,L
32,Scissors,W
33,Scissors,W
34,Paper,D
35,Paper,D
36,Paper,D
37,Rock,L
38,Scissors,W
39,Rock,L
40,Scissors,W
41,Paper,D
42,Rock,L
43,Rock,L
44,Paper,D
45,Scissors,W
46,Rock,L
47,Scissors,W
48,Scissors,W
49,Rock,L
50,Scissors,W
51,Rock,L
52,Scissors,W
53,Rock,L
54,Rock,L
55,Scissors,W
56,Rock,L
57,Paper,D
58,Scissors,W
59,Paper,D
60,Paper,D
61,Paper,D
62,Scissors,W
63,Scissors,W
64,Scissors,W
65,Paper,D
66,Paper,D
67,Rock,L
68,Paper,D
69,Paper,D
70,Rock,L
71,Rock,L
72,Paper,D
73,Paper,D
74,Scissors,W
75,Paper,D
76,Rock,L
77,Paper,D
78,Rock,L
79,Paper,D
80,Scissors,W
81,Scissors,W
82,Paper,D
83,Rock,L
84,Rock,L
85,Rock,L
86,Rock,L
87,Rock,L
88,Scissors,W
89,Rock,L
90,Scissors,W
91,Rock,L
92,Rock,L
93,Rock,L
94,Paper,D
95,Rock,L
96,Rock,L
97,Scissors,W
98,Scissors,W
99,Scissors,W
100,Scissors,W
101,Scissors,W
102,Paper,D
103,Paper,D
104,Paper,D
105,Paper,D
106,Paper,D
107,Paper,D
108,Paper,D
109,Paper,D
110,Scissors,W
111,Paper,D
112,Paper,D
113,Paper,D
114,Paper,D
115,Scissors,W
116,Rock,L
117,Paper,D
118,Paper,D
119,Paper,D
120,Rock,L
121,Scissors,W
122,Scissors,W
123,Scissors,W
124,Rock,L
125,Scissors,W
126,Rock,L
127,Rock,L
128,Scissors,W
129,Scissors,W
130,Paper,D
131,Scissors,W
132,Rock,L
133,Scissors,W
134,Paper,D
135,Scissors,W
136,Rock,L
137,Rock,L
138,Scissors,W
139,Rock,L
140,Scissors,W
141,Rock,L
142,Paper,D
143,Rock,L
144,Scissors,W
145,Paper,D
146,Rock,L
147,Rock,L
148,Paper,D
149,Scissors,W
150,Scissors,W
151,Scissors,W
152,Scissors,W
153,Rock,L
154,Scissors,W
155,Paper,D
156,Rock,L
157,Paper,D
158,Rock,L
159,Scissors,W
