,agents_choice,result
0,Paper,W
1,Rock,D
2,Rock,W
3,Paper,L
4,Scissors,L
5,Paper,W
6,Rock,D
7,Paper,L
8,Rock,D
9,Paper,L
10,Scissors,W
11,Paper,D
12,Rock,W
13,Scissors,L
14,Rock,D
15,Scissors,D
16,Scissors,D
17,Scissors,W
18,Rock,L
19,Scissors,W
20,Scissors,W
21,Paper,D
22,Rock,L
23,Scissors,W
24,Paper,D
25,Scissors,W
26,Paper,D
27,Scissors,W
28,Rock,L
29,Scissors,W
30,Scissors,W
31,Rock,L
32,Scissors,W
33,Scissors,W
34,Paper,D
35,Paper,D
36,Paper,D
37,Rock,L
38,Scissors,W
39,Rock,L
40,Scissors,W
41,Paper,D
42,Rock,L
43,Rock,L
44,Paper,D
45,Scissors,W
46,Rock,L
47,Scissors,W
48,Scissors,W
49,Rock,L
50,Scissors,W
51,Rock,L
52,Scissors,W
53,Rock,L
54,Rock,L
55,Scissors,W
56,Rock,L
57,Paper,D
58,Scissors,W
59,Paper,D
60,Paper,D
61,Paper,D
62,Scissors,W
63,Scissors,W
64,Scissors,W
65,Paper,D
66,Paper,D
67,Rock,L
68,Paper,D
69,Paper,D
70,Rock,L
71,Rock,L
72,Paper,D
73,Paper,W
74,Scissors,L
75,Paper,D
76,Rock,L
77,Paper,L
78,Rock,D
79,Paper,L
80,Scissors,L
81,Scissors,L
82,Paper,W
83,Rock,L
84,Rock,D
85,Rock,D
86,Rock,W
87,Rock,D
88,Scissors,D
89,Rock,L
90,Scissors,L
91,Rock,L
92,Rock,L
93,Rock,L
94,Paper,W
95,Rock,W
96,Rock,W
97,Scissors,W
98,Scissors,D
99,Scissors,D
100,Scissors,W
101,Scissors,D
102,Paper,D
103,Paper,D
104,Paper,L
105,Paper,L
106,Paper,D
107,Paper,L
108,Paper,L
109,Paper,D
110,Scissors,L
111,Paper,W
112,Paper,D
113,Paper,W
114,Paper,D
115,Scissors,D
116,Rock,W
117,Paper,L
118,Paper,D
119,Paper,L
120,Rock,W
121,Scissors,W
122,Scissors,W
123,Scissors,D
124,Rock,L
125,Scissors,L
126,Rock,W
127,Rock,W
128,Scissors,L
129,Scissors,D
130,Paper,L
131,Scissors,L
132,Rock,L
133,Scissors,W
134,Paper,L
135,Scissors,L
136,Rock,L
137,Rock,D
138,Scissors,D
139,Rock,D
140,Scissors,D
141,Rock,L
142,Paper,L
143,Rock,L
144,Scissors,L
145,Paper,D
146,Rock,W
147,Rock,D
148,Paper,W
149,Scissors,D
150,Scissors,L
151,Scissors,D
152,Scissors,D
153,Rock,W
154,Scissors,L
155,Paper,W
156,Rock,D
157,Paper,L
158,Rock,D
159,Scissors,D
160,Rock,W
161,Scissors,L
162,Scissors,L
163,Rock,L
164,Scissors,L
165,Scissors,D
166,Scissors,D
167,Rock,L
168,Rock,W
169,Rock,D
170,Scissors,W
171,Rock,D
172,Paper,L
173,Scissors,D
174,Rock,D
175,Scissors,D
176,Rock,W
177,Paper,D
178,Rock,W
179,Scissors,W
180,Rock,D
181,Scissors,L
182,Rock,W
183,Paper,D
184,Rock,D
185,Paper,D
186,Scissors,L
187,Paper,D
188,Paper,W
189,Paper,D
190,Paper,W
191,Paper,D
192,Rock,D
193,Rock,D
194,Paper,L
195,Paper,D
196,Rock,L
197,Scissors,L
198,Paper,W
199,Rock,D
200,Paper,L
201,Rock,W
202,Scissors,L
203,Scissors,L
204,Rock,W
205,Paper,L
206,Paper,L
207,Rock,W
208,Rock,L
209,Paper,D
210,Paper,D
211,Paper,D
212,Scissors,L
213,Rock,L
214,Paper,D
215,Paper,L
216,Paper,W
217,Paper,W
218,Rock,L
219,Paper,D
220,Paper,W
221,Rock,L
222,Rock,L
223,Rock,W
224,Scissors,W
225,Rock,D
226,Rock,W
227,Scissors,W
228,Paper,L
229,Scissors,D
230,Rock,D
231,Rock,W
232,Rock,D
233,Scissors,D
234,Rock,L
235,Scissors,D
236,Scissors,W
237,Paper,W
238,Paper,W
239,Scissors,W
240,Rock,D
241,Rock,D
242,Paper,W
243,Rock,L
244,Rock,W
245,Scissors,W
246,Scissors,L
247,Rock,W
248,Rock,W
249,Scissors,D
250,Scissors,W
251,Scissors,D
252,Paper,D
253,Rock,W
254,Rock,D
255,Rock,L
256,Rock,L
257,Rock,L
258,Paper,L
259,Rock,L
260,Paper,L
261,Scissors,W
262,Paper,L
263,Scissors,W
264,Scissors,L
265,Scissors,W
266,Rock,L
267,Paper,W
268,Scissors,L
269,Paper,L
270,Scissors,D
271,Rock,L
272,Rock,D
273,Rock,W
274,Paper,D
275,Scissors,W
276,Scissors,L
277,Scissors,L
278,Scissors,W
279,Rock,D
280,Rock,D
281,Rock,D
282,Scissors,D
283,Paper,L
284,Rock,W
285,Scissors,L
286,Paper,W
287,Rock,D
288,Scissors,D
289,Scissors,D
290,Rock,L
291,Paper,L
292,Rock,L
293,Rock,D
294,Scissors,D
295,Rock,D
296,Paper,W
297,Paper,L
298,Paper,W
299,Scissors,D
300,Rock,W
301,Rock,D
302,Paper,L
303,Paper,W
304,Rock,W
305,Paper,W
306,Rock,W
307,Paper,L
308,Rock,D
309,Rock,D
310,Paper,W
311,Rock,W
312,Paper,L
313,Paper,L
314,Scissors,D
315,Rock,W
316,Scissors,D
317,Rock,W
318,Paper,W
319,Paper,W
320,Paper,D
321,Scissors,L
322,Paper,L
323,Paper,W
324,Rock,D
325,Rock,W
326,Paper,W
327,Scissors,D
328,Paper,D
329,Scissors,W
330,Rock,L
331,Scissors,D
332,Rock,D
333,Scissors,D
334,Rock,W
335,Rock,L
336,Scissors,L
337,Paper,L
338,Paper,D
339,Scissors,D
340,Rock,D
341,Scissors,L
342,Rock,L
343,Paper,L
344,Paper,W
345,Paper,D
346,Paper,W
347,Paper,W
348,Rock,W
349,Rock,L
350,Paper,L
351,Paper,D
352,Paper,L
353,Rock,W
354,Rock,W
355,Scissors,L
356,Paper,L
357,Paper,L
358,Rock,D
359,Paper,D
360,Rock,D
361,Rock,L
362,Paper,D
363,Rock,D
364,Rock,W
365,Rock,W
366,Rock,D
367,Rock,L
368,Rock,D
369,Paper,L
370,Rock,D
371,Scissors,W
372,Rock,L
373,Rock,L
374,Scissors,L
375,Scissors,D
376,Scissors,W
377,Paper,L
378,Rock,D
379,Scissors,W
380,Paper,D
381,Paper,L
382,Scissors,D
383,Paper,L
384,Scissors,D
385,Rock,D
386,Scissors,L
387,Scissors,W
388,Rock,W
389,Scissors,L
